10 2809 1.9
20 5336 1.55
30 7864 1.4333333333333333
40 10211 1.35
50 12719 1.36
60 15500 1.4
70 18590 1.5285714285714285
80 21050 1.4875
90 23420 1.4444444444444444
100 26209 1.48
110 28838 1.46
120 31272 1.45
130 33900 1.49
140 36408 1.52
150 39305 1.59
160 42257 1.65
170 45075 1.61
